Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;On sale (0/1);Manufacturer;Quantity;Description;URL rewritten;Image URLs (x,y,z...);Rozmiary (cechy)
4000;1;Botki;Kobiety,Obuwie Damskie,Botki;153.23;1;1;Even&Odd;9;<b>Materiał zewnętrzny:</b> Włókno<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Skóra ekologiczna<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> EV411N03E-Q12<br><b>Wysokość cholewki:</b> Do kostki<br><b>Szerokość cholewki:</b> 18 cm w rozmiarze 37<br><b>Wysokość obcasa:</b> Wysoki;botki;https://img01.ztat.net/article/spp-media-p1/abf6674e13543d5985f0f313feaa133c/934cf67af5c6478091059c5c02eba831.jpg?imwidth=156,https://mosaic04.ztat.net/prd/media/comet/EV/41/1N/03/EQ/12/VIDEO/PREVIEW_IMG/1649846652767.jpg,https://img01.ztat.net/article/spp-media-p1/56124ac4f4394f37bf3163410b67086c/fb7ec7faa44043d6b4a58621ffdcc813.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/ce7204323b4d4922a0a80e02943855e0/a26a1d8402b6426a9fee1caff941142d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/71b11cab8f454441a12c8132f3d41b40/62f6f207556240dcbabd70f4b7dbb24b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/cdddbd366ac63002bf4c68dd66a1a285/5e1fdfd899c6426b8fcb1c89996c4bc2.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/07232782d2c63d3590833e1ef4535e3e/bf76de04684e489594bf2683e94a90af.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/5005dc0412aa33739d332c1489d67d60/10f3a6eb07ba4976bb7deca95ddfec5c.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b3a549737ae637cea94965e838c07d94/2c9bc688446d49d0b78b0fa717c33bf3.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c8274ab1d27435089c8a48a1f451de75/f7eb87ea0a984d6190a18c002ea19f6d.jpg?imwidth=156;44,36,35,42,39,41,38,43,45,37,40
4001;1;Botki sznurowane;Kobiety,Obuwie Damskie,Botki;137.83;1;1;Stradivarius;9;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Poliester<br><b>Wyściółka:</b> Syntetyk<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Zamek błyskawiczny<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> STH11N05T-A11<br><b>Wysokość cholewki:</b> Do kostki<br><b>Wysokość obcasa:</b> Średni<br><b>Wysokość platformy:</b> 1.5 cm w rozmiarze 37;botki-sznurowane;https://img01.ztat.net/article/spp-media-p1/15546f2d0d7549aa8425d3208b92188b/2a1a29b4aa104824baacb574098ca2f2.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/5d5911b95375436694737d00d7041239/d201bded80c841cb89ebb6bec268ee50.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/565e14d31fbc435ca622d8ce88e6d233/e9305a8e90554963874bb07e831209b6.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/d7d76f1b4a384f5d970a51f52b8e0a1a/178fda140c0542c7b30ae43d8b7753be.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/753098ac8b1a4e6db87a3bd06d9ec3e1/80a85f634b33432f85d05f0114354c4d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/6549de55f1e54df0acdb9402e2998401/1afb063b02404111911c79d8f932b36a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/75e87f5c40574ad08baad05c3ac5eee5/bc639a19afbe4518819c9f6db2af3265.jpg?imwidth=156;34,36,35,42,39,41,38,37,40
4002;1;Botki;Kobiety,Obuwie Damskie,Botki;461.23;1;1;Massimo Dutti;8;<b>Materiał zewnętrzny:</b> Skóra<br><b>Materiał wewnętrzny:</b> Skóra<br><b>Wyściółka:</b> Skóra<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Wstawka z materiału elastycznego<br><b>Numer produktu:</b> M3I11N04A-Q11<br><b>Wysokość cholewki:</b> Do kostki<br><b>Wysokość obcasa:</b> Średni;botki;https://img01.ztat.net/article/spp-media-p1/d9614522b9c44900badd08073be1dd9c/822728e61d6d4b669b89dfe98cb8994b.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/b5b33abc37ec4c118456aebea6834621/2ff7cf131ded42fdae8fb1df9629a0b9.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ac4b559c16d14e709d48b2c312ead61b/b094e0e1d06b44039dd3ef43bac66b6e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c1c689532d2347049c344fec3b0d6e1d/ee4febc5624c441f9e3a28086a82913d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b3df9b40fd694fd88399e6ee4b5e06b8/fc2bc484ac58447c99611349b981f2ee.jpg?imwidth=156;36,35,42,39,41,38,37,40
4003;1;Botki na platformie;Kobiety,Obuwie Damskie,Botki;137.83;1;1;Even&Odd Wide Fit;4;<b>Materiał zewnętrzny:</b> Skóra ekologiczna<br><b>Materiał wewnętrzny:</b> Skóra ekologiczna/materiał<br><b>Wyściółka:</b> Skóra ekologiczna<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Struktura/rodzaj materiału:</b> Skóra ekologiczna<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Wstawka z materiału elastycznego<br><b>Numer produktu:</b> EVC11N00P-Q11<br><b>Szerokość buta:</b> Szeroki<br><b>Wysokość cholewki:</b> Do kostki<br><b>Szerokość cholewki:</b> 19 cm w rozmiarze 37<br><b>Wysokość obcasa:</b> Niski<br><b>Wysokość platformy:</b> 2.5 cm w rozmiarze 37;botki-na-platformie;https://img01.ztat.net/article/spp-media-p1/cba84a08cb083fc5947f5409b6c79369/6076ada07f4a45ad8f6cf5568d5a322d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/3cb20ad1a4b832c3b16dcf576d3acd5e/3ef0a0de418b469a9f4dddd3ee1af43c.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/b317625ce232354fbd70e884bbe8bcb6/b27d097a70f1433ba4fc82042f0da777.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ca5fc34dc08b34f780e8cbb31474dd8d/07dcbec8bc7744029acdf0ce5156d927.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/f8a4262f243835beb3817f4f3b158f33/53e599592ad34e63a9332033feca7196.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b43d02c2002430a2ae8ceb0b37dae4f2/9c74c944d1cf40dcaf0a73f4057012a4.jpg?imwidth=156;44,36,35,42,39,41,38,43,45,37,40
4004;1;Ankle boot;Kobiety,Obuwie Damskie,Botki;130.9;1;1;Anna Field;6;<b>Materiał zewnętrzny:</b> Skóra ekologiczna<br><b>Materiał wewnętrzny:</b> Skóra ekologiczna/materiał<br><b>Wyściółka:</b> Skóra ekologiczna<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Struktura/rodzaj materiału:</b> Skóra ekologiczna<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek<br><b>Szczegóły cholewy:</b> Boczny zamek błyskawiczny<br><b>Zapięcie:</b> Zamek błyskawiczny<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Nity dekoracyjne<br><b>Numer produktu:</b> AN611N093-Q11<br><b>Wysokość cholewki:</b> Niska<br><b>Szerokość cholewki:</b> 24 cm w rozmiarze 37<br><b>Wysokość obcasa:</b> Niski;ankle-boot;https://img01.ztat.net/article/spp-media-p1/1e06e8e5cc0a3e70b0ca9a972b109581/63490e73569240d289daa904853cc338.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/e04485b0025730f284f2792d8fe21e2b/c0b1ffdaa1a240358ada213c9a02a56d.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/14e31282f0af3d22bbe27391d2209b8e/93549c5af25a4e3f9ea7d644dd1c7853.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ace7616468ea3c848f0d4c4a00d8a036/d5578c1b809a48ac9139a8fd3b2ab839.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/035c0ff102f83492af911f44c5a40eb0/249b5c2f98e445808fa087f2a9dc3c98.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/697ea7a16bd93969b48f2c9171349555/08a84f3ab8f44ac7962fa10019f1fa5a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a306b43aeaf43bee8cec73839361dc17/21314e8f69ed4dfca823509607297f92.jpg?imwidth=156;36,39,41,38,37,40
4005;1;Botki na platformie;Kobiety,Obuwie Damskie,Botki;137.83;1;1;Even&Odd;8;<b>Materiał zewnętrzny:</b> Skóra ekologiczna<br><b>Materiał wewnętrzny:</b> Skóra ekologiczna/materiał<br><b>Wyściółka:</b> Skóra ekologiczna<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Struktura/rodzaj materiału:</b> Skóra ekologiczna<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Wstawka z materiału elastycznego<br><b>Numer produktu:</b> EV411N0A2-Q12<br><b>Wysokość cholewki:</b> Niska<br><b>Szerokość cholewki:</b> 21 cm w rozmiarze 37<br><b>Wysokość obcasa:</b> Niski<br><b>Wysokość platformy:</b> 2.5 cm w rozmiarze 37;botki-na-platformie;https://img01.ztat.net/article/spp-media-p1/b6778d494aec312faefc96dc21d10ec4/5265f55b39534f0e8c1eea0130be3ae5.jpg?imwidth=156,https://mosaic03.ztat.net/prd/media/comet/EV/41/1N/0A/2Q/12/VIDEO/PREVIEW_IMG/1649852718822.jpg,https://img01.ztat.net/article/spp-media-p1/3ab9cc969cd9424a96fa0043fcf7e93e/884c185b7f1e4c2d9eecae157ac3c970.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/f52af86f7f234c56bc0e21a687b478c6/ed76b40941834265b0dd3f2aa5550d3c.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/280f445dc3a7486e84aace847e6e0d6b/93102647cf374eca901c96ba6f9d6a9c.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b69b0e75a4e6321ab48699d54ae71b67/0a48d45961424b1ab7ad03589cb95de1.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/511f1c4fbb4a34f9855f6c7f2a924593/63676117fbd9408689c6b0a2ad7c88d2.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/2ff557f5b8643b7d98df3e0223089ac0/e041621ac59e4a1395565a2cbabcccca.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ab587f2308473f6fafcfd0b1845073ca/24e2c0d6959c440396bbcb483e1225b3.jpg?imwidth=156;44,36,35,42,39,41,38,43,45,37,40
4006;1;- Botki na platformie;Kobiety,Obuwie Damskie,Botki;699.93;1;1;UGG;5;<b>Materiał zewnętrzny:</b> Zamsz<br><b>Materiał wewnętrzny:</b> Wełna<br><b>Wyściółka:</b> Wełna<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Ocieplane<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> UG111X06Z-C11<br><b>Wysokość cholewki:</b> Niska<br><b>Szerokość cholewki:</b> 30 cm w rozmiarze 38<br><b>Wysokość obcasa:</b> Średni<br><b>Wysokość platformy:</b> 5.5 cm w rozmiarze 38;--botki-na-platformie;https://img01.ztat.net/article/spp-media-p1/110b61c525894160ac235501e072982e/c66d8c39b7f5488187b63453a09aa8da.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/2b87d0ea247b4da1b55a80f808f99e2d/ea0f390b9a914c3e919b4f3525b15f6c.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/2b8513318a1b471da0c6d5d4567b22a1/562cb78a596b48d59b46d2bf3eeb77c8.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/08c3f69758b249c0b2a2d4dafbe400b7/beeb1ae5fa3f447799afee8f2043c171.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ee25b49cb5d84099947512c8111537cf/f08b48519d95489097f2ead7557c448e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/5997b1aac3d04cee8e08350666df164f/80b937e109ff477e9cce7b0f1be3a523.jpg?imwidth=156;36,42,39,41,38,43,37,40
4007;1;Botki;Kobiety,Obuwie Damskie,Botki;153.23;1;1;Even&Odd;6;<b>Materiał zewnętrzny:</b> Zamsz<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Ocieplane<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> EV411X00M-Q11<br><b>Wysokość cholewki:</b> Niska<br><b>Szerokość cholewki:</b> 30 cm w rozmiarze 37<br><b>Wysokość obcasa:</b> Średni;botki;https://img01.ztat.net/article/spp-media-p1/e3577776c259368d8b3b362f2cdf4651/21208255399349ff82dfb1da8bf1c237.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/359949d9cc643647a3317ac8eb8f928a/679022896e5b4f3296d7c542c073f533.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/efb877727d8b33d7b745e408727b3373/530a609fc8e04dffa48e3b0f12e95772.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/31534230b8fc32f6bf6992af0ece909c/632b83549ee3437da2a91ab1e2cb35e8.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/5644178f25d53493b2cee2b626500501/d88270c5c8df4153a16bccbcf4477fcd.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/bfeff21f6e043abc92d45c2160106384/b351f92c84b44fe6812da31173e92945.jpg?imwidth=156;44,36,35,42,39,41,38,43,45,37,40
4008;1;Botki na platformie;Kobiety,Obuwie Damskie,Botki;153.23;1;1;Even&Odd;4;<b>Materiał zewnętrzny:</b> Skóra ekologiczna<br><b>Materiał wewnętrzny:</b> Skóra ekologiczna/materiał<br><b>Wyściółka:</b> Skóra ekologiczna<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Struktura/rodzaj materiału:</b> Skóra ekologiczna<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Wstawka z materiału elastycznego<br><b>Numer produktu:</b> EV411N0BX-Q11<br><b>Wysokość cholewki:</b> Do kostki<br><b>Szerokość cholewki:</b> 22 cm w rozmiarze 37<br><b>Wysokość obcasa:</b> Niski<br><b>Wysokość platformy:</b> 3 cm w rozmiarze 37;botki-na-platformie;https://img01.ztat.net/article/spp-media-p1/3227dde41785373698cdddb6d1c53ac1/b38a8d71c7dd44fe88007a79b3cc7235.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/614dfec5493a38199809fdeabb4c176c/728a338c8c854e0aa0a5411a7e4938a9.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/1d1d042d016e3d6196f0fcb71b1e27f9/e2795c5a43b542f6893e050ba43e8f9b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/8cecf24b21b63bf6b1354a92107bce29/412dd9c834044238a3817fdcee81a3e8.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/9ff4f7e47386357aa998b2745b784beb/7e26de06b7024cf5bad0839cff349ce9.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b346b890aa0932ac81b3ac6685e800d5/4823317ddb804712b12ebe78aaf23770.jpg?imwidth=156;44,36,35,42,39,41,38,43,45,37,40
4009;1;Botki na platformie;Kobiety,Obuwie Damskie,Botki;699.93;1;1;UGG;5;<b>Materiał zewnętrzny:</b> Skóra i materiał<br><b>Materiał wewnętrzny:</b> Wełna<br><b>Wyściółka:</b> Wełna<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Ocieplane<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Platforma<br><b>Zapięcie:</b> Zamek błyskawiczny<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> UG111X07Y-O11<br><b>Wysokość cholewki:</b> Do kostki<br><b>Szerokość cholewki:</b> 26 cm w rozmiarze 38<br><b>Wysokość obcasa:</b> Średni<br><b>Wysokość platformy:</b> 5 cm w rozmiarze 38;botki-na-platformie;https://img01.ztat.net/article/spp-media-p1/991966e231dc4c789937c4ddbe4f9f9a/2c3b9f6582074fb5ab9174972aea626a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/74df030ffa7349b882a004c3886f5070/d01304c648d94978b7bc3750561cb4be.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/39d34acd05e3485c9f1e6b7212aa1a88/28465f5b59074ff981e25c688920a447.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/e52e4e13709644f192a6c8b4f1fe3a54/557906ae649545c69c4f2515882f5be5.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/0e7b6be101464762a2e486615a6f4951/c6dab69c12654ff1bed9e71ed835c86c.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/7221d738b7a74e3c97608bd95785b937/5aa78b1a435a41ec9545ad78acd3148f.jpg?imwidth=156;36,42,39,41,38,43,37,40
