Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;On sale (0/1);Manufacturer;Quantity;Description;URL rewritten;Image URLs (x,y,z...);Rozmiary (cechy)
4000;1;UNISEX - Klapki;Kobiety,Obuwie Damskie,Klapki;237.93;1;1;Crocs;8;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Koturn, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> CR415G04R-Q11<br><b>Wysokość obcasa:</b> Bez obcasa<br><b>Wysokość platformy:</b> 2.5 cm w rozmiarze 37-38;unisex---klapki;https://img01.ztat.net/article/spp-media-p1/494a3e0a385744a2ac156ceeebb32fbc/7dbc0a81236d468e8175c3223783ba03.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/2a1ed70e40414de9900fa4974edac7b9/c0b594071b824fb781209961840fabab.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/459b1b7cfe894befa8501c7b1d70a4b6/d29744e75adf48cfa1265df8e684a96c.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/cbda8e1c019c4607b932576608286139/9720277bb98845c695e8818d433ec783.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a8c180eb44914440812080eedef870f3/b822c44c899c43718ec7e2eea2af01b4.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/2cddca3b43ba4ade89ac4b9fc3cd6d71/74afc7351138491aa13d99f50f4d1029.jpg?imwidth=156;36-37,42-43,43-44,46-47,39-40,45-46,38-39,41-42,48-49,37-38
4004;1;ADILETTE UNISEX - Klapki;Kobiety,Obuwie Damskie,Klapki;129.36;1;1;adidas Originals;3;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Syntetyk<br><b>Wyściółka:</b> Syntetyk<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> AD115G02D-K11<br><b>Wysokość obcasa:</b> Bez obcasa;adilette-unisex---klapki;https://img01.ztat.net/article/spp-media-p1/6574f20b59dc4f6393ed36fff8a46a80/f52f9d1711d94b2584bad0eea8649b11.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/f73698b085224e5eb8088df450ce29b8/eaf56814a2b84228a02bb323a5671166.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/599161683efb4680a060fdb47671090d/6fd0d5d2fcc34c159cceabe64f67643e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b5c41d69f9a24adf8e372c2820bf263e/4ca42297bfb64a428579b09a2e5daf79.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/7a2f54cea07d433aa561ccb6e5724f21/98688481b085413bbfbbfe21e934939a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/da827cb3173943aaa6e0c6db8357afdd/967746168d6a408083404433f5fb4b85.jpg?imwidth=156;44.5,50,46,51,35,42,39,48.5,47,38,43,37,40.5
4008;1;UNISEX - Klapki;Kobiety,Obuwie Damskie,Klapki;64.68;1;1;Pier One;3;<b>Materiał zewnętrzny:</b> Zamsz<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Skóra<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Klamra<br><b>Numer produktu:</b> PI915G007-O11<br><b>Wysokość obcasa:</b> Bez obcasa;unisex---klapki;https://img01.ztat.net/article/spp-media-p1/b48d222ad0244c768f70667e79175f73/b2f2c87750d94ec395eb01645216d4ad.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/6d365d3a1875488796988886ebb14a69/1ee5620fc90b4da0a452ce97dd5a5ed9.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/8b99e6a1de7a496eacffd26b866f4291/8a1a0ed86af44a0a99909d47ed4ae330.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/02233cacb142433b9ee0fc506768e220/86c0ad132d9a400d93935e172398d97e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/eacf99a6a57a4e8eb52ce36edc4e1dd8/e69768ab4beb4130b1b0d2ade923c2e2.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/71a3513bec56435398aa8af04b8335d2/f2070e61d4304597be262052add66071.jpg?imwidth=156;44,50,36,46,42,48,39,41,47,38,49,43,45,37,40
4012;1;Klapki;Kobiety,Obuwie Damskie,Klapki;207.13;1;1;adidas Originals;9;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Wyściółka:</b> Syntetyk<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> AD115G022-O11;klapki;https://img01.ztat.net/article/spp-media-p1/fe1b45790dcb414aa42346d0d427c3c7/87851834f7ec411c999a3bbf1d9b0604.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/40a0e57d0a3944129ac595857e2a24af/2ff8804541c449a7ab58e92e243fa1ab.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/d27448914b1742a1b7617c748e1fe76e/473fa770770c4af39e594c1523c07a5f.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/3c5832e6599e468eaf7c1082bcde0a10/b497886427ac4e5c8027d7e3e260c1e6.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/57b4597c2b08447c9375a0dea5202baf/54005300627f4d55b866a1f29df7bbe0.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/e7e363dac6734039a9d1ae3c706134a6/1b467e54586f4167a127442391ce8844.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/7a32b3ed939f42d293e345f3055053ea/9d0a8117c4da40aeafae85a659be7413.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a049fec07b4e40b983c4e333aac064b0/8d312001c823412c9179008d4330eac9.jpg?imwidth=156;44.5,50,46,51,35,42,39,48.5,47,38,43,37,40.5
4016;1;Klapki;Kobiety,Obuwie Damskie,Klapki;114.73;1;1;Crocs;7;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> CR411A04D-Q11<br><b>Wysokość obcasa:</b> Niski<br><b>Wysokość platformy:</b> 3 cm w rozmiarze 37/38;klapki;https://img01.ztat.net/article/spp-media-p1/745d77c82ef9470d8a054111c1fd0437/5ea4ddf53b00423f8470dc693c54821a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/dbe4bfa3a7774e11b9c5e10a79d8fcf1/65daddf229444f34a0bc972160981867.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/091c8a1dcada4432abbf889a7aaf50f0/9a777a6fe4484e469ce72f81a908019b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/34ca745944164f8f9ac2169f3eaba7f4/a45c1cf2df7840178ab25c42b9d91b9d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a3a2d2b128ce4542a6ca5dd89d80acb2/fa923874495f4deeb31557ddf6a882bb.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/0b9134fbd78247379f888a29178acd51/d1759ae6a29942c890fb10977e9cfc43.jpg?imwidth=156;33/34,36/37,37/38,39/40,34/35,41/42,38/39,42/43
4020;1;ARIZONA - Klapki;Kobiety,Obuwie Damskie,Klapki;176.33;1;1;Birkenstock;2;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Szczegół:</b> Klamra<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Klamra<br><b>Numer produktu:</b> BI111F00R-Q11<br><b>Wysokość obcasa:</b> Bez obcasa;arizona---klapki;https://img01.ztat.net/article/spp-media-p1/c6a5960ca3a03c318a49523207bd8359/b08f420a21e746a98a447c07acfafd4b.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/621ad2500ac13ac6b073ed9f65cdfc3a/03677a029e70430a9649bffd5eea141d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/33be081893a63c1fbaee02089623f0f0/c9aa52b35c924ec891a436898646357f.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/1a05ff42d31038a7a3c1b0052a83bb6c/c2254fb21d9344169f74931baea5e224.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/99b78a39b9a1358fb18695aeefc1fa9c/a0c62a2db2e74409a60eb5bf79c5da9a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/6a50e68140c238fbac50cdd01c862104/71ab567d5f4f40f481530054a9eac076.jpg?imwidth=156;36,35,39,41,38,37,40
4024;1;UNISEX - Sneakersy niskie;Kobiety,Obuwie Damskie,Klapki;484.33;1;1;FENTY x PUMA;2;<b>Materiał zewnętrzny:</b> Nubuk<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Sznurowanie<br><b>Szczegóły:</b> Dodatkowa para sznurówek<br><b>Numer produktu:</b> F0D11A006-I11<br><b>Wysokość obcasa:</b> Niski;unisex---sneakersy-niskie;https://img01.ztat.net/article/spp-media-p1/05c426b3b5f9455d8702dcd26431859d/759301c008d8492a8fe5f1b79d9ae9a3.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/810111d7055d4839a443a964545f0e00/cd6f0202e5034f8c958facf0589e3d39.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b2a4072560504581b31799192faa35be/1a221b927a944ce2a326a86b327767c3.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/feb9dd91392d4e5b89e45245989e9553/327fc12d1a9140c6b604b35eaf944310.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/844b0a23364b4bd6903dc039ef3d1065/a005fc71e581495591b23379eaa19703.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/d50d965673a542d79b4c3f7fbad0fd15/b57a61a38bb54814a00ce42433394753.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ea4435e9c39d48cca5ecc9bf90e57e45/7409539075b643c38d3d9e28ac648cde.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c1ab4971542547c88d315bf5eab30b80/9ac2074b87e54c7b924e450477e6dbe1.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/44b855a610d34453a32f4ab7fd872d4c/4c672cca301b4552a532da15f3f3519b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b95da3a6d1cb44ea87cb5bbe70bc8abc/65da4455378e47ac990c3589bfa8b184.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ef9303ea4060404ba29d41ebd2755dbb/aabb2c1a80b6461dbfba0b9a501b6a8e.jpg?imwidth=156;44,44.5,36,46,38.5,42,42.5,39,41,40.5,37.5,47,38,43,45,37,40
4028;1;VELOPHASIS ALWAYS ON UNISEX - Sneakersy niskie;Kobiety,Obuwie Damskie,Klapki;399.63;1;1;Puma;5;<b>Materiał zewnętrzny:</b> Materiał/syntetyk<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Struktura/rodzaj materiału:</b> Mesh<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Sznurowanie<br><b>Wzór:</b> Nadruk<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> PU115O0Q8-Q11<br><b>Wysokość obcasa:</b> Bez obcasa;velophasis-always-on-unisex---sneakersy-niskie;https://img01.ztat.net/article/spp-media-p1/67994ccf68284b16babb8b29463d26a8/196d52b727a2499fa1bef8902d76f6e8.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/220dea38f65f442a8d9c20fb663cb303/347c3ff579574fb894c2d0f4719866af.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b04cdcc3ec864b6996e9de6ae1b20776/8df5516f740c42ffbe3ffe02c0398d32.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/f48bc89f8a2843ee82adf7aa88a4e2ff/a5a352739ce14362b933d9e6c5d182c7.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c03c560ac9b84ec9b8607c9334e4367e/55cf925a57bc48019b82970e25c7b061.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a5c364f00cdb46eeae0bd177bbbb9c18/b0eb3125db8848a993e1761d78a86086.jpg?imwidth=156;44,44.5,36,46,38.5,42,42.5,39,41,40.5,48.5,37.5,47,38,43,45,37,40
4032;1;PALERMO UNISEX - Sneakersy niskie;Kobiety,Obuwie Damskie,Klapki;314.93;1;1;Puma;5;<b>Materiał zewnętrzny:</b> Skóra i materiał skóropodobny<br><b>Materiał wewnętrzny:</b> Tworzywo sztuczne / materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Sznurowanie<br><b>Numer produktu:</b> PU115O0Q6-Q11<br><b>Wysokość obcasa:</b> Bez obcasa;palermo-unisex---sneakersy-niskie;https://img01.ztat.net/article/spp-media-p1/7a54edf2d0554d84b09f3f8e57799298/dffe168510a047d8a741e71f4b1b4436.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/5145b400398947238db695b503630df4/9cd5b7a37f2042979fb9f69f592bea4f.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/5a12579b98cd4e24820beb9300430598/08bb72180e894ad7905ff8b71381c521.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/4d1e3119db0749689b2e188a238a2722/3bdd6fa997d840d7a4ebb4b4f73968e3.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/4b44de1f1e35416e83283594ce195e4a/75667e2f65dd4f77891a984d80610e21.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/0dd44f03c1e74d008998b215b27ea0a7/3e3693e1c6ae4acf9dac962afe35750e.jpg?imwidth=156;44,44.5,36,46,38.5,42,42.5,39,41,40.5,48.5,37.5,47,38,43,45,37,40
4036;1;PALERMO UNISEX - Sneakersy niskie;Kobiety,Obuwie Damskie,Klapki;314.93;1;1;Puma;9;<b>Materiał zewnętrzny:</b> Skóra<br><b>Materiał wewnętrzny:</b> Skóra ekologiczna/materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Kauczuk naturalny<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Sznurowanie<br><b>Numer produktu:</b> PU115O0Q5-M11<br><b>Wysokość obcasa:</b> Bez obcasa;palermo-unisex---sneakersy-niskie;https://img01.ztat.net/article/spp-media-p1/c2ac4018f9e741fba81808d14ba66d0f/e7d6b445f6f84dd5bc22d5c6d9406c45.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/6011684164964bd5a4864019c5af1f42/5f18797c554c44e7beeefe6943ddafcf.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/404ddc0e0974400b9ee8bcc4c2cea0d9/abe079c75bf84024912a8ddfc274e7e9.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/def05bbf23cf4e20a80e41f713ea80ba/74773e55288e4853811c66da1162a984.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/466a25f72d874062be1575610fe71549/c39178fdd9f44f56ad3ab1622e17000b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/fdb259d6e1ed4bd2b175dc653cd4e585/a045191a2ebf44cd95af02948b1a4b4e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/5d4ff62d1e794cd2a71d8f643323709c/43438b704d4640ffbd5f51076984bc07.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/93c677cfdd764a15b9edfd6233ee7425/83e5dd754f704f1cba7c4e7f7146e55f.jpg?imwidth=156;44,44.5,36,46,38.5,42,42.5,39,41,40.5,48.5,37.5,47,38,43,45,37,40
